iteration,compute_time
0.0,36387031.0
1.0,32885546.0
2.0,32032735.0
3.0,32398106.0
4.0,32294903.0
5.0,32365816.0
6.0,32205086.0
7.0,32313379.0
8.0,32216277.0
9.0,32131970.0
10.0,31922989.0
11.0,32278644.0
12.0,32125949.0
13.0,31981990.0
14.0,32122272.0
15.0,32181011.0
16.0,31542209.0
17.0,32492412.0
18.0,32396454.0
19.0,31675929.0
20.0,31287222.0
21.0,32344406.0
22.0,32194126.0
23.0,31781455.0
24.0,31627738.0
25.0,31829135.0
26.0,32053543.0
27.0,31761778.0
28.0,31728507.0
29.0,31738967.0
30.0,32674363.0
31.0,31572646.0
32.0,32536916.0
33.0,32132582.0
34.0,31867056.0
35.0,32567303.0
36.0,32387146.0
37.0,32925330.0
38.0,32534892.0
39.0,32083851.0
40.0,32158319.0
41.0,31599165.0
42.0,31560374.0
43.0,31656594.0
44.0,32013339.0
45.0,32451867.0
46.0,32277592.0
47.0,32086816.0
48.0,32227829.0
49.0,32171253.0
50.0,32168058.0
51.0,31547189.0
52.0,31759945.0
53.0,32541434.0
54.0,31886321.0
55.0,32537267.0
56.0,31532622.0
57.0,31977993.0
58.0,31780434.0
59.0,31564060.0
60.0,32234713.0
61.0,31701857.0
62.0,31624463.0
63.0,31887463.0
64.0,31514027.0
65.0,31873499.0
66.0,32115910.0
67.0,32411182.0
68.0,31947576.0
69.0,31997058.0
70.0,32154162.0
71.0,31977552.0
72.0,31648538.0
73.0,31946354.0
74.0,32269737.0
75.0,31391448.0
76.0,31631497.0
77.0,31442764.0
78.0,31617080.0
79.0,32096605.0
80.0,32335289.0
81.0,32273925.0
82.0,31116355.0
83.0,31470005.0
84.0,31663326.0
85.0,31548291.0
86.0,31819517.0
87.0,31485925.0
88.0,31753072.0
89.0,31532872.0
90.0,31355481.0
91.0,31628601.0
92.0,32431861.0
93.0,32902899.0
94.0,32442199.0
95.0,31997108.0
96.0,32140897.0
97.0,32013129.0
98.0,31739439.0
99.0,31764565.0
100.0,32272042.0
101.0,32004713.0
102.0,31422787.0
103.0,31402138.0
104.0,31662213.0
105.0,31384687.0
106.0,31928681.0
107.0,32577151.0
108.0,31958136.0
109.0,32275660.0
110.0,32176704.0
111.0,32115029.0
112.0,32179860.0
113.0,32276961.0
114.0,31844995.0
115.0,31516592.0
116.0,31641796.0
117.0,31530157.0
118.0,32650929.0
119.0,32143742.0
120.0,31389616.0
121.0,31623221.0
122.0,31465167.0
123.0,31623852.0
124.0,31627900.0
125.0,31687642.0
126.0,31583077.0
127.0,31702570.0
128.0,31769114.0
129.0,31992521.0
130.0,32128695.0
131.0,32035751.0
132.0,31995076.0
133.0,31566736.0
134.0,31927229.0
135.0,32227029.0
136.0,32036604.0
137.0,31634363.0
138.0,31519839.0
